2016-17,,,,,,,,,,,,
Official NBA Conference Overall Standings,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Eastern Conference,,,,,,,,,,,,
,Team,W,L,Win%,GB,Conf,Div,Home,Road,OT,Last 10,Streak
1,Boston Celtics,53,29,0.646,0, 36-16, 11-5, 30-11, 23-18, 2-1, 7-3,W 3
2,Cleveland Cavaliers,51,31,0.622,2, 35-17, 8-8, 31-10, 20-21, 3-4, 4-6,L 4
3,Toronto Raptors,51,31,0.622,2, 34-18, 14-2, 28-13, 23-18, 3-1, 8-2,W 4
4,Washington Wizards,49,33,0.598,4, 32-20, 8-8, 30-11, 19-22, 4-3, 5-5,L 1
5,Atlanta Hawks,43,39,0.524,10, 30-22, 6-10, 23-18, 20-21, 5-0, 6-4,L 1
6,Milwaukee Bucks,42,40,0.512,11, 27-25, 10-6, 23-18, 19-22, 1-3, 5-5,L 1
7,Indiana Pacers,42,40,0.512,11, 26-26, 8-8, 29-12, 13-28, 4-2, 6-4,W 5
8,Chicago Bulls,41,41,0.5,12, 28-24, 9-7, 25-16, 16-25, 2-2, 7-3,W 2
9,Miami Heat,41,41,0.5,12, 27-25, 9-7, 23-18, 18-23, 2-1, 6-4,W 3
10,Detroit Pistons,37,45,0.451,16, 21-31, 5-11, 24-17, 13-28, 3-1, 3-7,L 2
11,Charlotte Hornets,36,46,0.439,17, 22-30, 10-6, 22-19, 14-27, 0-6, 4-6,L 5
12,New York Knicks,31,51,0.378,22, 22-30, 5-11, 19-22, 12-29, 1-3, 4-6,W 1
13,Orlando Magic,29,53,0.354,24, 20-32, 7-9, 16-25, 13-28, 2-2, 3-7,W 1
14,Philadelphia 76ers,28,54,0.341,25, 19-33, 7-9, 17-24, 11-30, 1-4, 1-9,L 8
15,Brooklyn Nets,20,62,0.244,33, 11-41, 3-13, 13-28, 7-34, 1-1, 5-5,L 2
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Western Conference,,,,,,,,,,,,
,Team,W,L,Win%,GB,Conf,Div,Home,Road,OT,Last 10,Streak
1,Golden State Warriors,67,15,0.817,0, 42-10, 14-2, 36-5, 31-10, 0-3, 9-1,W 1
2,San Antonio Spurs,61,21,0.744,6, 36-16, 11-5, 31-10, 30-11, 4-1, 5-5,L 3
3,Houston Rockets,55,27,0.671,12, 36-16, 10-6, 30-11, 25-16, 3-0, 5-5,W 1
4,LA Clippers,51,31,0.622,16, 31-21, 10-6, 29-12, 22-19, 1-1, 8-2,W 7
5,Utah Jazz,51,31,0.622,16, 31-21, 8-8, 29-12, 22-19, 2-1, 7-3,W 2
6,Oklahoma City Thunder,47,35,0.573,20, 29-23, 10-6, 28-13, 19-22, 4-1, 6-4,L 1
7,Memphis Grizzlies,43,39,0.524,24, 28-24, 8-8, 24-17, 19-22, 5-2, 3-7,L 2
8,Portland Trail Blazers,41,41,0.5,26, 28-24, 11-5, 25-16, 16-25, 4-5, 7-3,L 1
9,Denver Nuggets,40,42,0.488,27, 24-28, 6-10, 22-19, 18-23, 0-3, 5-5,W 2
10,New Orleans Pelicans,34,48,0.415,33, 20-32, 6-10, 21-20, 13-28, 3-5, 4-6,W 1
11,Dallas Mavericks,33,49,0.402,34, 19-33, 5-11, 21-20, 12-29, 2-2, 2-8,W 1
12,Sacramento Kings,32,50,0.39,35, 21-31, 7-9, 17-24, 15-26, 2-6, 5-5,L 1
13,Minnesota Timberwolves,31,51,0.378,36, 18-34, 5-11, 20-21, 11-30, 2-3, 3-7,L 6
14,Los Angeles Lakers,26,56,0.317,41, 16-36, 6-10, 17-24, 9-32, 1-0, 5-5,L 1
15,Phoenix Suns,24,58,0.293,43, 11-41, 3-13, 15-26, 9-32, 3-3, 2-8,L 1